Scenario,EPV_EUR,Change_Pct
Base,156095.87727821566,0
Longevity Shock,163569.9795568933,4.788148418139354
Mortality Shock,151326.5415420043,-3.05538866200213
IR +50bps,148825.6389246491,-4.657546682420404
IR -50bps,163984.44171481568,5.053666101981624
