Scenario,LE,EPV
1,20.673406786611128,194227.16512423573
2,21.021821095818954,197660.17921461377
3,21.148510137765697,198891.48148665126
4,20.6965615579647,194482.50269521822
5,21.79482615466178,205243.56968591904
6,21.777015036896472,205067.873356198
7,21.830634064118208,205620.4716894602
8,21.77163453402165,205007.36957122677
9,21.435140312216305,201679.66939684935
10,22.058624884767585,207827.92302019784
11,22.00308243324425,207282.58482846047
12,21.220278205401303,199548.0199602822
13,22.026724111349374,207440.97218418677
14,22.1443464666206,208626.7706586503
15,21.934258837694543,206542.3871888659
16,22.170275159929613,208896.08649998103
17,22.487681377000555,211992.9947376363
18,22.118390696116357,208376.16407589155
19,22.58464341474806,212916.53919458884
20,21.967616182174805,206861.85723550274
21,22.310742955662143,210225.52493754117
22,22.57881876354816,212840.18809027717
23,22.524682106317677,212343.51764175607
24,22.464716469674272,211731.81572320408
25,22.078977510139183,207965.0424538521
26,22.512226271134605,212183.0184515594
27,22.79183123270922,214965.47415667112
28,22.990630870198043,216893.8935840676
29,22.957244059486275,216580.8791242391
30,22.841925742239724,215444.00747448925
31,22.659756740867188,213646.82279864364
32,22.824177361107854,215256.67217911567
33,22.932728529541528,216318.56886915053
34,22.79946447616353,214994.58674286434
35,22.861837692241654,215634.67724899997
36,23.20477163289316,218983.01217520228
37,23.130215290647747,218246.85428575752
38,23.12537464733949,218201.88881073854
39,23.26515026475506,219560.71636511004
40,23.31582700449313,220082.79725541294
41,23.203219806505682,218965.98021845304
42,23.19833773500157,218909.5045255626
43,23.237327913051278,219307.76731025436
44,23.367725734155425,220580.9287950954
45,23.47547046076785,221631.57283366448
46,23.179554802587894,218731.40853044894
47,23.483120632351326,221717.18359774604
48,23.466107056465827,221538.57887467486
49,23.267761035845346,219569.08919580322
50,23.36366690287136,220514.01955897696
51,21.50808506561199,202461.77367412046
52,21.516591458173263,202496.44252076917
53,21.102921852701016,198476.63965867908
54,21.407734645179623,201449.0335027712
55,21.29223416402067,200301.43697270085
56,21.643174717689064,203735.72278517476
57,21.109321733453232,198460.05989939708
58,21.529328503304175,202597.88823696188
59,21.923202106531935,206453.61957762638
60,21.842584933262998,205689.96836931465
61,21.666032702832357,203930.57861025256
62,21.703985627587322,204300.9175942753
63,21.712525866181007,204390.07224158998
64,22.117968014686948,208373.4972207381
65,22.218446379429174,209362.68252173995
66,21.92112142298553,206461.56920409095
67,21.688773052302786,204124.28697974552
68,22.308383108710334,210256.57062339067
69,22.745544605369616,214543.37738342996
70,22.0623849523867,207799.94281741392
71,22.16292030839604,208768.36757371484
72,22.54930204258662,212604.5149196133
73,22.49920472457036,212090.8258903015
74,22.82663975234963,215321.27364831543
75,22.305949392765697,210167.70760617458
76,22.49061980100621,211998.15906726356
77,22.653118341387128,213587.40525865386
78,22.611900853261606,213165.8025138445
79,22.76474607595921,214695.2001919697
80,22.675099293601445,213804.40729337887
81,22.446848459686194,211555.9643130341
82,23.174189205478278,218698.2579686708
83,22.929427848221884,216285.91847230747
84,23.07012707883647,217691.2703031479
85,23.027835954883844,217248.04267026705
86,23.078626892258644,217744.86574234447
87,22.859345510391073,215598.3963415336
88,23.14695991345423,218413.48886158425
89,23.17832074202141,218718.44265325865
90,23.0156561505244,217105.42898342677
91,23.09905584488,217938.96848269607
92,23.234358127205343,219261.02122715217
93,23.122600060133347,218157.96580107757
94,23.105861519448183,217997.23807127538
95,23.457966802772063,221451.76355991283
96,23.230910676705683,219218.64752988733
97,23.440417749619737,221286.7179352848
98,23.425727393459265,221135.9036664779
99,23.386259210846447,220751.40312291196
100,23.314660862303366,220026.59961106212
